week,bnb,bitcoin,cardano,ocean protocol,solana,fetch,uniswap,XRP,ethereum,filecoin,singularitynet,kucoin,oasis network,pancakeswap,chainlink,tezos,litecoin,polkadot,dogecoin,monero
2022-07-10,55,30,11,18,25,4,9,8,20,7,5,25,11,6,13,22,10,20,2,35
2022-07-17,57,31,14,14,29,0,9,10,28,7,7,27,11,7,13,19,12,23,2,34
2022-07-24,54,26,13,16,25,0,9,8,23,10,0,29,16,6,13,18,11,25,2,33
2022-07-31,52,24,11,14,35,4,8,8,22,19,6,25,18,7,13,19,10,22,2,32
2022-08-07,53,22,13,16,25,4,8,7,25,10,10,25,19,8,15,19,11,21,2,36
2022-08-14,50,23,13,12,22,0,8,8,24,10,11,26,13,8,13,14,11,22,2,44
2022-08-21,48,22,11,11,21,0,8,8,21,9,8,23,11,7,12,19,10,18,2,33
2022-08-28,47,22,12,13,20,0,8,6,20,8,11,23,10,7,11,15,9,17,2,31
2022-09-04,41,22,12,18,21,8,7,7,22,8,7,28,10,6,12,16,9,17,1,29
2022-09-11,41,21,12,16,22,6,8,9,43,8,10,29,10,6,12,14,9,16,2,35
2022-09-18,45,23,14,20,21,5,7,24,24,8,0,24,10,6,12,13,10,17,2,36
2022-09-25,42,21,10,19,20,0,8,16,17,8,0,24,14,6,17,13,9,17,1,31
2022-10-02,43,19,9,16,17,3,7,14,14,6,5,20,13,6,15,12,8,16,1,30
2022-10-09,42,18,9,15,18,3,8,13,13,7,20,21,9,5,14,11,8,15,1,30
2022-10-16,40,16,11,18,17,4,9,11,12,6,8,20,10,5,12,12,7,16,1,28
2022-10-23,39,18,10,14,17,4,9,11,16,7,10,21,10,6,13,14,8,17,4,27
2022-10-30,43,18,11,24,21,4,9,13,16,8,8,23,12,7,14,14,11,18,7,23
2022-11-06,44,33,11,17,64,3,9,14,22,9,0,33,13,7,16,14,12,17,4,31
2022-11-13,39,30,12,19,38,3,10,14,18,9,0,26,10,6,15,16,11,16,3,33
2022-11-20,37,23,10,15,24,3,7,11,15,6,0,22,9,5,12,12,15,14,3,28
2022-11-27,37,21,8,17,18,3,8,11,13,7,0,31,7,5,14,10,11,14,3,30
2022-12-04,35,18,8,21,16,10,7,10,11,6,10,20,7,5,14,9,10,14,2,27
2022-12-11,39,19,9,20,17,11,9,10,12,10,0,16,9,4,11,13,9,13,2,28
2022-12-18,37,18,8,17,15,7,7,9,12,11,10,16,8,4,10,13,9,14,2,29
2022-12-25,39,18,8,14,26,4,6,10,11,7,6,16,9,4,10,12,10,14,2,22
2023-01-01,43,18,8,20,29,7,7,10,12,6,8,15,6,5,10,11,10,14,2,27
2023-01-08,48,20,12,40,30,30,8,11,14,7,48,20,9,6,10,12,12,16,2,27
2023-01-15,46,24,10,34,29,21,8,11,16,10,42,21,12,6,13,13,12,17,2,28
2023-01-22,44,22,11,47,22,18,8,11,14,9,38,20,12,5,11,12,10,16,2,27
2023-01-29,46,21,12,40,20,16,9,11,14,8,39,22,8,6,11,13,13,17,2,28
2023-02-05,46,18,9,59,17,48,10,9,12,7,100,23,14,6,12,10,11,17,2,24
2023-02-12,44,19,9,37,17,21,10,9,13,12,40,25,14,6,11,11,10,16,2,25
2023-02-19,46,19,8,34,22,20,9,8,12,18,29,23,10,7,12,18,9,17,2,25
2023-02-26,44,18,8,21,17,14,9,8,11,10,37,20,13,6,11,13,8,16,1,22
2023-03-05,45,18,7,32,17,12,9,10,11,9,28,22,9,5,10,10,9,18,1,22
2023-03-12,43,27,8,30,17,13,9,11,15,14,34,21,10,5,11,10,10,16,2,27
2023-03-19,46,26,9,24,17,10,12,23,15,9,24,23,10,5,13,8,10,16,1,27
2023-03-26,44,24,9,27,15,12,10,30,12,8,22,21,6,6,11,10,11,15,1,33
2023-04-02,44,21,8,25,14,9,11,19,13,8,12,19,9,6,12,10,9,16,8,26
2023-04-09,45,25,12,20,20,11,10,17,18,8,10,23,9,7,14,9,10,16,3,28
2023-04-16,46,22,9,25,18,17,15,15,15,7,20,38,9,6,14,9,10,14,2,28
2023-04-23,43,21,8,21,16,13,12,13,12,7,18,24,8,7,12,7,9,15,2,22
2023-04-30,43,19,7,18,14,9,22,11,11,6,17,23,6,8,11,8,8,15,1,23
2023-05-07,42,19,7,19,14,8,19,11,11,5,18,19,7,9,11,8,9,14,1,25
2023-05-14,42,16,7,14,14,13,14,12,9,6,10,17,5,7,10,8,10,13,1,23
2023-05-21,43,16,7,17,14,8,13,11,9,5,17,15,6,6,10,10,10,13,1,21
2023-05-28,45,17,7,35,14,8,11,17,10,5,19,17,7,6,10,9,10,13,1,23
2023-06-04,48,19,11,22,17,8,9,19,10,7,18,18,8,5,13,8,10,13,1,23
2023-06-11,47,19,9,29,18,5,10,22,10,5,11,17,6,5,13,8,10,15,1,24
2023-06-18,47,21,8,18,13,9,9,17,11,5,18,18,7,4,11,8,11,15,1,23
