Timestamp, TransactionVolumeUSD, TransactionCount
2020-09-06,1829777558.2032661,564613771.0
2020-09-13,1167524444.2634711,566471858.5
2020-09-20,1806254636.8678746,569024330.5
2020-09-27,1482250481.0820534,571513230.5
2020-10-04,1203790528.826737,573414811.0
2020-10-11,1718950759.9289398,575271404.5
2020-10-18,1246816019.06679,577793053.5
2020-10-25,1700853768.3238504,580231691.0
2020-11-01,1905326003.9315948,581879482.0
2020-11-08,2662814850.646298,583574388.0
2020-11-15,2035910461.4660602,585977518.0
2020-11-22,3659712299.5932646,588454456.0
2020-11-29,2538983217.21746,590384379.0
2020-12-06,2114834358.3216078,592242772.5
2020-12-13,3342859873.413048,594694024.0
2020-12-20,3554150744.5315003,597207336.5
2020-12-27,4521542613.468366,599094619.0
2021-01-03,4923775288.88662,600913508.0
2021-01-10,7226037630.353881,603622246.5
2021-01-17,3923761260.8620443,606357214.0
2021-01-24,6431956373.853647,608238505.0
2021-01-31,4004496574.3183713,610062171.5
2021-02-07,4781812355.583292,612653781.0
2021-02-14,9323029982.366993,615350122.0
2021-02-21,6965263231.68306,617234210.0
2021-02-28,6270220509.79804,619113658.0
2021-03-07,7639534778.053078,621543335.0
2021-03-14,6728441010.164803,623940272.5
2021-03-21,4894489405.172105,625772533.0
2021-03-28,7531071174.3678875,627560192.0
2021-04-04,5524564793.284329,629946836.0
2021-04-11,6257578943.661385,632320996.0
2021-04-18,8641377868.56945,634085336.0
2021-04-25,7064807587.719733,635629791.5
2021-05-02,4373606891.412323,637753651.0
2021-05-09,8700867645.06787,640003468.5
2021-05-16,8393577142.836842,641770051.0
2021-05-23,9842589130.789093,643244756.5
2021-05-30,5827584917.046377,645054014.5
2021-06-06,2975389417.9306374,646809902.5
2021-06-13,3107834664.1425056,648157218.0
2021-06-20,4615875587.3020735,649524188.0
2021-06-27,3580134917.5167613,651235739.5
2021-07-04,2626097810.3118343,652841826.0
2021-07-11,2449742946.6151342,654124289.0
2021-07-18,2709561046.63305,655392559.5
2021-07-25,2548985399.192962,657106434.0
2021-08-01,5495442494.9254675,658947720.0
2021-08-08,3145422652.401049,660346520.0
2021-08-15,4481715898.544028,661771453.0
2021-08-22,4299441426.441366,663718788.5
2021-08-29,4268095383.169604,665677481.0
2021-09-05,3923453382.4169607,667169954.0
2021-09-12,6899043826.930922,668723159.5
2021-09-19,3443560463.7561336,670735274.5
2021-09-26,2544009785.4226074,672735255.0
2021-10-03,3962081543.403182,674209251.0
2021-10-10,4798877069.628595,675844612.5
2021-10-17,4525558072.705889,678021482.0
2021-10-24,7285511600.074685,680238246.5
2021-10-31,5177301045.418054,681881744.0
2021-11-07,5346695089.970755,683537377.5
2021-11-14,7401855674.808115,685761770.5
2021-11-21,6169533234.911855,687980179.0
2021-11-28,4084844363.2880335,689623429.0
2021-12-05,6011956361.331839,691257296.5
2021-12-12,7537883595.437797,693452101.5
2021-12-19,3452175693.131951,695523598.0
2021-12-26,6161478519.530808,697110260.0
2022-01-02,3322757118.3158145,698587995.0
2022-01-09,2956824081.1798024,700527683.0
2022-01-16,4540511493.852452,702565317.0
2022-01-23,3692341838.8779845,704099618.0
2022-01-30,4759862125.09185,705624570.5
2022-02-06,6072471738.644612,707649408.0
2022-02-13,4060981112.0846944,709705176.5
2022-02-20,2712566675.3416886,711209926.0
2022-02-27,4437478620.873717,712649134.5
2022-03-06,3947209737.5355115,714663401.0
2022-03-13,3809518132.139905,716662494.0
2022-03-20,4719243661.5665245,718176611.0
2022-03-27,4873252832.658065,719695417.5
2022-04-03,3857493247.467306,721815224.5
2022-04-10,3662154556.0121155,723926624.0
2022-04-17,4172682802.102885,725497957.0
2022-04-24,3357481328.2281494,726993925.5
2022-05-01,4760442936.4539795,729095196.0
2022-05-08,5379726666.862666,731233946.0
2022-05-15,8355796985.599777,732821388.0
2022-05-22,5296774939.206343,734430220.5
2022-05-29,3467136711.1608415,736463696.0
2022-06-05,4035860556.094951,738487178.0
